table_schema,table_name,column_name,data_type,is_nullable,column_default
public,research,buying_signals,text,YES,null
public,research,automation_maturity,text,YES,null
public,research,sponsorship_potential,boolean,YES,null
public,research,summary,text,YES,null
public,research,raw_content,text,YES,null
public,research,created_at,timestamp with time zone,YES,now()
public,research,brand_id,uuid,NO,null
public,research,client_id,uuid,YES,null
public,scoring_versions,id,uuid,NO,gen_random_uuid()
public,scoring_versions,version_name,text,NO,null
public,scoring_versions,scoring_config,jsonb,NO,null
public,scoring_versions,is_active,boolean,YES,false
public,scoring_versions,created_at,timestamp with time zone,YES,now()
public,scoring_versions,brand_id,uuid,NO,null
public,send_counters,id,uuid,NO,gen_random_uuid()
public,send_counters,product,text,NO,null
public,send_counters,counter_type,text,NO,null
public,send_counters,bucket_start,timestamp with time zone,NO,null
public,send_counters,send_count,integer,NO,0
public,send_counters,created_at,timestamp with time zone,YES,now()
public,send_counters,brand_id,uuid,NO,null
public,send_counters,domain,text,YES,null
public,send_counters,bounce_count,integer,YES,0
public,sending_domains,id,uuid,NO,gen_random_uuid()
public,sending_domains,brand_id,uuid,NO,null
public,sending_domains,domain,text,NO,null
public,sending_domains,daily_limit,integer,NO,50
public,sending_domains,sent_today,integer,NO,0
public,sending_domains,total_sent,integer,NO,0
public,sending_domains,bounce_count,integer,NO,0
public,sending_domains,last_reset_at,timestamp with time zone,NO,now()
public,sending_domains,is_active,boolean,NO,true
public,sending_domains,created_at,timestamp with time zone,NO,now()
public,sending_domains,disabled_reason,text,YES,null
public,sending_domains,disabled_at,timestamp with time zone,YES,null
public,sent_messages,id,uuid,NO,gen_random_uuid()
public,sent_messages,client_id,uuid,YES,null
public,sent_messages,brand_id,uuid,YES,null
public,sent_messages,lead_id,uuid,YES,null
public,sent_messages,company_id,uuid,YES,null
public,sent_messages,message_key,text,NO,null
public,sent_messages,smtp_message_id,text,YES,null
public,sent_messages,subject,text,YES,null
public,sent_messages,body,text,YES,null
public,sent_messages,direction,text,NO,null
public,sent_messages,from_email,text,YES,null
public,sent_messages,to_email,text,YES,null
public,sent_messages,status,text,NO,'pending'::text
public,sent_messages,sent_at,timestamp with time zone,YES,null
public,sent_messages,delivered_at,timestamp with time zone,YES,null
public,sent_messages,opened_at,timestamp with time zone,YES,null
public,sent_messages,clicked_at,timestamp with time zone,YES,null
public,sent_messages,bounced_at,timestamp with time zone,YES,null
public,sent_messages,failed_at,timestamp with time zone,YES,null
public,sent_messages,error_message,text,YES,null
public,sent_messages,metadata,jsonb,YES,null
public,sent_messages,created_at,timestamp with time zone,NO,now()
public,signal_performance,product,text,NO,null
public,signal_performance,signal,text,NO,null
public,signal_performance,total_leads,integer,YES,0
public,signal_performance,total_closed,integer,YES,0
public,signal_performance,total_revenue,numeric,YES,0
public,signal_performance,brand_id,uuid,NO,null
public,signal_source_performance,id,uuid,NO,gen_random_uuid()
public,signal_source_performance,source_id,uuid,NO,null
public,signal_source_performance,brand_id,uuid,NO,null
public,signal_source_performance,sends,integer,YES,0
public,signal_source_performance,replies,integer,YES,0
public,signal_source_performance,bounces,integer,YES,0
public,signal_source_performance,last_updated,timestamp with time zone,YES,now()
public,suppression_list,id,uuid,NO,gen_random_uuid()
public,suppression_list,client_id,uuid,YES,null
public,suppression_list,email,text,YES,null
public,suppression_list,domain,text,YES,null
public,suppression_list,reason,text,YES,null
public,suppression_list,source,text,YES,null
public,suppression_list,is_hard,boolean,YES,false
public,suppression_list,created_at,timestamp with time zone,NO,now()
public,system_flags,key,text,NO,null
public,system_flags,value,boolean,NO,null
public,system_flags,client_id,uuid,YES,null
public,system_health,id,uuid,NO,gen_random_uuid()
public,system_health,check_type,text,NO,null
public,system_health,result,text,NO,null
public,system_health,metadata,jsonb,YES,null
public,system_health,created_at,timestamp with time zone,NO,now()
public,v_product_revenue_summary,product,text,YES,null
public,v_product_revenue_summary,total_revenue,numeric,YES,null
public,v_product_revenue_summary,total_closed,bigint,YES,null
public,v_product_revenue_summary,avg_ticket,numeric,YES,null
public,v_signal_revenue_analytics,product,text,YES,null
public,v_signal_revenue_analytics,signal,text,YES,null
public,v_signal_revenue_analytics,total_leads,integer,YES,null
public,v_signal_revenue_analytics,total_closed,integer,YES,null
public,v_signal_revenue_analytics,avg_revenue_per_close,numeric,YES,null
public,v_signal_revenue_analytics,close_rate,numeric,YES,null
public,v_signal_revenue_analytics,total_revenue,numeric,YES,null
public,webhook_deliveries,id,uuid,NO,gen_random_uuid()
public,webhook_deliveries,webhook_id,uuid,NO,null
public,webhook_deliveries,payload,jsonb,NO,null
public,webhook_deliveries,status_code,integer,YES,null
public,webhook_deliveries,response_body,text,YES,null
public,webhook_deliveries,attempt_number,integer,NO,1
public,webhook_deliveries,success,boolean,NO,false
public,webhook_deliveries,error_message,text,YES,null
public,webhook_deliveries,created_at,timestamp with time zone,NO,now()
public,webhook_deliveries,delivered_at,timestamp with time zone,YES,null
