schemaname,tablename,indexname,indexdef
public,client_daily_send,idx_client_daily_send_client_date,"CREATE INDEX idx_client_daily_send_client_date ON public.client_daily_send USING btree (client_id, send_date)"
public,client_daily_send,idx_client_daily_send_client,"CREATE INDEX idx_client_daily_send_client ON public.client_daily_send USING btree (client_id, send_date)"
public,client_daily_send,client_daily_send_client_id_send_date_key,"CREATE UNIQUE INDEX client_daily_send_client_id_send_date_key ON public.client_daily_send USING btree (client_id, send_date)"
public,client_daily_send,client_daily_send_pkey,CREATE UNIQUE INDEX client_daily_send_pkey ON public.client_daily_send USING btree (id)
public,client_hourly_send,idx_client_hourly_send_client,"CREATE INDEX idx_client_hourly_send_client ON public.client_hourly_send USING btree (client_id, hour_bucket)"
public,client_hourly_send,client_hourly_send_client_id_hour_bucket_key,"CREATE UNIQUE INDEX client_hourly_send_client_id_hour_bucket_key ON public.client_hourly_send USING btree (client_id, hour_bucket)"
public,client_hourly_send,client_hourly_send_pkey,CREATE UNIQUE INDEX client_hourly_send_pkey ON public.client_hourly_send USING btree (id)
public,client_members,client_members_pkey,CREATE UNIQUE INDEX client_members_pkey ON public.client_members USING btree (id)
public,client_members,idx_client_members_client,CREATE INDEX idx_client_members_client ON public.client_members USING btree (client_id)
public,client_members,idx_client_members_email,CREATE INDEX idx_client_members_email ON public.client_members USING btree (email)
public,client_members,client_members_user_id_key,CREATE UNIQUE INDEX client_members_user_id_key ON public.client_members USING btree (user_id)
public,client_members,idx_client_members_user_id,CREATE INDEX idx_client_members_user_id ON public.client_members USING btree (user_id)
public,client_settings,client_settings_client_id_key,CREATE UNIQUE INDEX client_settings_client_id_key ON public.client_settings USING btree (client_id)
public,client_settings,idx_client_settings_llm_provider,CREATE INDEX idx_client_settings_llm_provider ON public.client_settings USING btree (llm_provider) WHERE (llm_provider IS NOT NULL)
public,client_settings,client_settings_pkey,CREATE UNIQUE INDEX client_settings_pkey ON public.client_settings USING btree (id)
public,client_webhooks,client_webhooks_pkey,CREATE UNIQUE INDEX client_webhooks_pkey ON public.client_webhooks USING btree (id)
public,client_webhooks,idx_client_webhooks_client,CREATE INDEX idx_client_webhooks_client ON public.client_webhooks USING btree (client_id) WHERE (is_active = true)
public,clients,idx_clients_is_active,CREATE INDEX idx_clients_is_active ON public.clients USING btree (is_active) WHERE (is_active = true)
public,clients,clients_pkey,CREATE UNIQUE INDEX clients_pkey ON public.clients USING btree (id)
public,clients,clients_slug_key,CREATE UNIQUE INDEX clients_slug_key ON public.clients USING btree (slug)
public,clients,idx_clients_slug,CREATE INDEX idx_clients_slug ON public.clients USING btree (slug)
public,clients,idx_clients_owner_email,CREATE INDEX idx_clients_owner_email ON public.clients USING btree (owner_email)
public,companies,idx_companies_brand,CREATE INDEX idx_companies_brand ON public.companies USING btree (brand_id)
public,companies,idx_companies_brand_status,"CREATE INDEX idx_companies_brand_status ON public.companies USING btree (brand_id, status)"
public,companies,idx_companies_client_status,"CREATE INDEX idx_companies_client_status ON public.companies USING btree (client_id, status)"
public,companies,idx_companies_state_updated_at,CREATE INDEX idx_companies_state_updated_at ON public.companies USING btree (state_updated_at)
public,companies,idx_unique_company_brand_domain,"CREATE UNIQUE INDEX idx_unique_company_brand_domain ON public.companies USING btree (brand_id, domain)"
public,companies,idx_unique_brand_domain,"CREATE UNIQUE INDEX idx_unique_brand_domain ON public.companies USING btree (brand_id, domain)"
public,companies,companies_pkey,CREATE UNIQUE INDEX companies_pkey ON public.companies USING btree (id)
public,companies,idx_companies_status,CREATE INDEX idx_companies_status ON public.companies USING btree (status)
public,companies,idx_companies_domain,CREATE INDEX idx_companies_domain ON public.companies USING btree (domain)
public,companies,idx_companies_domain_unique,CREATE UNIQUE INDEX idx_companies_domain_unique ON public.companies USING btree (domain) WHERE (domain IS NOT NULL)
public,daily_send_limits,daily_send_limits_pkey,"CREATE UNIQUE INDEX daily_send_limits_pkey ON public.daily_send_limits USING btree (product, send_date)"
public,daily_send_tracker,daily_send_tracker_pkey,CREATE UNIQUE INDEX daily_send_tracker_pkey ON public.daily_send_tracker USING btree (id)
public,daily_send_tracker,idx_unique_daily_send,"CREATE UNIQUE INDEX idx_unique_daily_send ON public.daily_send_tracker USING btree (brand_id, send_date)"
public,daily_send_tracker,idx_daily_send_tracker_brand,CREATE INDEX idx_daily_send_tracker_brand ON public.daily_send_tracker USING btree (brand_id)
public,daily_send_tracker,daily_send_tracker_product_send_date_key,"CREATE UNIQUE INDEX daily_send_tracker_product_send_date_key ON public.daily_send_tracker USING btree (product, send_date)"
public,dead_letter_queue,dead_letter_queue_pkey,CREATE UNIQUE INDEX dead_letter_queue_pkey ON public.dead_letter_queue USING btree (id)
public,dead_letters,dead_letters_brand_idx,CREATE INDEX dead_letters_brand_idx ON public.dead_letters USING btree (brand_id)
public,dead_letters,dead_letters_entity_idx,"CREATE INDEX dead_letters_entity_idx ON public.dead_letters USING btree (entity_type, entity_id)"
public,dead_letters,dead_letters_pkey,CREATE UNIQUE INDEX dead_letters_pkey ON public.dead_letters USING btree (id)
public,discovered_companies,idx_discovered_companies_unprocessed,CREATE INDEX idx_discovered_companies_unprocessed ON public.discovered_companies USING btree (brand_id) WHERE (processed = false)
public,discovered_companies,unique_brand_domain,"CREATE UNIQUE INDEX unique_brand_domain ON public.discovered_companies USING btree (brand_id, domain)"
public,discovered_companies,idx_discovered_companies_brand,CREATE INDEX idx_discovered_companies_brand ON public.discovered_companies USING btree (brand_id)
public,discovered_companies,idx_discovered_retry_queue,"CREATE INDEX idx_discovered_retry_queue ON public.discovered_companies USING btree (brand_id, next_attempt_at) WHERE (processed = false)"
public,discovered_companies,idx_discovered_unprocessed_order,CREATE INDEX idx_discovered_unprocessed_order ON public.discovered_companies USING btree (discovered_at) WHERE (processed = false)
public,discovered_companies,idx_discovered_companies_confidence,CREATE INDEX idx_discovered_companies_confidence ON public.discovered_companies USING btree (confidence)
public,discovered_companies,discovered_companies_pkey,CREATE UNIQUE INDEX discovered_companies_pkey ON public.discovered_companies USING btree (id)
public,discovered_contacts,idx_discovered_contacts_enrichment,"CREATE INDEX idx_discovered_contacts_enrichment ON public.discovered_contacts USING btree (requires_enrichment, processed)"
public,discovered_contacts,discovered_contacts_pkey,CREATE UNIQUE INDEX discovered_contacts_pkey ON public.discovered_contacts USING btree (id)
public,discovered_contacts,idx_discovered_contacts_unprocessed,CREATE INDEX idx_discovered_contacts_unprocessed ON public.discovered_contacts USING btree (brand_id) WHERE (processed = false)
public,discovered_contacts,idx_discovered_contacts_confidence,CREATE INDEX idx_discovered_contacts_confidence ON public.discovered_contacts USING btree (confidence)
public,discovered_contacts,idx_discovered_contacts_enrichment_queue,"CREATE INDEX idx_discovered_contacts_enrichment_queue ON public.discovered_contacts USING btree (requires_enrichment, next_attempt_at)"
public,discovered_contacts,idx_unique_discovered_email_per_brand,"CREATE UNIQUE INDEX idx_unique_discovered_email_per_brand ON public.discovered_contacts USING btree (brand_id, email) WHERE (email IS NOT NULL)"
public,discovered_contacts,idx_discovered_contacts_retry_queue,"CREATE INDEX idx_discovered_contacts_retry_queue ON public.discovered_contacts USING btree (brand_id, next_attempt_at) WHERE (processed = false)"
public,discovered_contacts,idx_discovered_contacts_brand,CREATE INDEX idx_discovered_contacts_brand ON public.discovered_contacts USING btree (brand_id)
public,discovery_dead_letters,discovery_dead_letters_pkey,CREATE UNIQUE INDEX discovery_dead_letters_pkey ON public.discovery_dead_letters USING btree (id)
public,discovery_metrics,discovery_metrics_pkey,CREATE UNIQUE INDEX discovery_metrics_pkey ON public.discovery_metrics USING btree (id)
public,discovery_sources,discovery_sources_pkey,CREATE UNIQUE INDEX discovery_sources_pkey ON public.discovery_sources USING btree (id)
public,edge_function_secrets,edge_function_secrets_pkey,CREATE UNIQUE INDEX edge_function_secrets_pkey ON public.edge_function_secrets USING btree (id)
public,edge_function_secrets,edge_function_secrets_key_name_key,CREATE UNIQUE INDEX edge_function_secrets_key_name_key ON public.edge_function_secrets USING btree (key_name)
public,email_events,email_events_pkey,CREATE UNIQUE INDEX email_events_pkey ON public.email_events USING btree (id)
public,email_events,idx_email_events_type,CREATE INDEX idx_email_events_type ON public.email_events USING btree (event_type)
public,email_events,idx_email_events_message,CREATE INDEX idx_email_events_message ON public.email_events USING btree (message_id)
public,email_events,idx_email_events_client,CREATE INDEX idx_email_events_client ON public.email_events USING btree (client_id)
public,enrichment_metrics,enrichment_metrics_pkey,CREATE UNIQUE INDEX enrichment_metrics_pkey ON public.enrichment_metrics USING btree (id)
public,inbound_events,inbound_events_event_id_key,CREATE UNIQUE INDEX inbound_events_event_id_key ON public.inbound_events USING btree (event_id)
public,inbound_events,idx_inbound_events_event_id,CREATE INDEX idx_inbound_events_event_id ON public.inbound_events USING btree (event_id)
public,inbound_events,idx_inbound_events_brand,CREATE INDEX idx_inbound_events_brand ON public.inbound_events USING btree (brand_id)
public,inbound_events,inbound_events_pkey,CREATE UNIQUE INDEX inbound_events_pkey ON public.inbound_events USING btree (id)
public,inbound_message_claims,inbound_message_claims_pkey,"CREATE UNIQUE INDEX inbound_message_claims_pkey ON public.inbound_message_claims USING btree (message_id, brand_id)"
public,lead_company_map,lead_company_map_pkey,"CREATE UNIQUE INDEX lead_company_map_pkey ON public.lead_company_map USING btree (lead_id, company_id)"
public,lead_company_map,idx_lcm_brand,CREATE INDEX idx_lcm_brand ON public.lead_company_map USING btree (brand_id)
public,lead_import_batches,lead_import_batches_pkey,CREATE UNIQUE INDEX lead_import_batches_pkey ON public.lead_import_batches USING btree (id)
public,leads,idx_leads_client_status,"CREATE INDEX idx_leads_client_status ON public.leads USING btree (client_id, status)"
public,leads,leads_state_updated_idx,CREATE INDEX leads_state_updated_idx ON public.leads USING btree (state_updated_at)
public,leads,leads_pkey,CREATE UNIQUE INDEX leads_pkey ON public.leads USING btree (id)
public,leads,idx_leads_score,CREATE INDEX idx_leads_score ON public.leads USING btree (lead_score DESC)
public,leads,idx_leads_brand_status,"CREATE INDEX idx_leads_brand_status ON public.leads USING btree (brand_id, status)"
public,leads,idx_leads_domain,CREATE INDEX idx_leads_domain ON public.leads USING btree (domain)
public,leads,leads_retry_idx,"CREATE INDEX leads_retry_idx ON public.leads USING btree (status, next_retry_at)"
public,leads,idx_unique_leads_brand_email,"CREATE UNIQUE INDEX idx_unique_leads_brand_email ON public.leads USING btree (brand_id, email) WHERE (email IS NOT NULL)"
public,leads,idx_leads_company_id,CREATE INDEX idx_leads_company_id ON public.leads USING btree (company_id)
public,leads,idx_leads_brand,CREATE INDEX idx_leads_brand ON public.leads USING btree (brand_id)
public,leads,idx_leads_email,CREATE INDEX idx_leads_email ON public.leads USING btree (email)
public,leads,idx_leads_status,CREATE INDEX idx_leads_status ON public.leads USING btree (status)
